AtBat,Hits,Walks,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Salary
315,81,39,3449,835,69,321,414,375,632,475
479,130,76,1624,457,63,224,266,263,880,480
496,141,37,5628,1575,225,828,838,354,200,500
321,87,30,396,101,12,48,46,33,805,91.5
594,169,35,4408,1133,19,501,336,194,282,750
185,37,21,214,42,1,30,9,24,76,70
298,73,7,509,108,0,41,37,12,121,100
323,81,8,341,86,6,32,34,8,143,75
401,92,65,5206,1332,253,784,890,866,0,1100
574,159,59,4631,1300,90,702,504,488,238,517.143
202,53,27,1876,467,15,192,186,161,304,512.5
418,113,47,1512,392,41,205,204,203,211,550
239,60,22,1941,510,4,309,103,207,121,700
196,43,30,3231,825,36,376,290,238,80,240
568,158,73,8068,2273,177,1045,993,732,105,775
190,46,15,479,102,5,65,23,39,102,175
127,32,14,727,180,24,67,82,56,202,135
413,92,65,413,92,16,72,48,65,280,100
426,109,62,426,109,3,55,43,62,361,115
472,116,74,1924,489,67,242,251,240,518,600
629,168,40,8424,2464,164,1008,1072,402,1067,776.667
587,163,70,2695,747,17,442,198,317,434,765
324,73,22,1931,491,13,291,108,180,222,708.333
474,129,40,2331,604,61,246,327,166,732,750
550,152,81,2308,633,32,349,182,308,262,625
513,137,90,5201,1382,166,763,734,784,267,900
419,108,22,591,149,8,80,46,31,226,110
583,168,56,1646,452,44,219,208,136,109,612.5
204,49,12,1309,308,27,126,132,66,419,300
379,106,30,6207,1906,146,859,803,571,72,850
268,60,15,350,78,5,34,29,18,442,90
181,41,33,232,50,4,20,29,45,326,67.5
217,46,9,694,160,32,86,76,32,307,180
254,68,22,999,236,21,108,117,118,359,305
416,132,33,932,273,24,113,121,80,73,215
205,57,9,756,192,32,117,107,51,58,247.5
526,146,84,2648,715,77,352,342,289,303,815
457,101,22,6521,1767,281,1003,977,619,389,875
214,53,23,226,59,2,32,32,27,109,70
591,168,39,4478,1307,113,634,563,319,67,1200
403,101,39,5150,1429,166,747,666,526,316,675
405,102,20,950,231,29,99,138,64,161,415
244,58,35,1335,333,49,164,179,194,142,340
313,78,12,3742,968,35,409,321,170,106,416.667
627,177,70,3210,927,133,529,472,313,240,1350
416,113,16,416,113,24,58,69,16,203,90
155,44,15,6631,1634,98,698,661,777,53,275
236,56,11,1115,270,1,116,64,57,125,230
216,53,22,926,210,9,118,69,114,73,225
585,139,62,7546,1982,315,1141,1179,727,0,950
199,53,21,514,120,8,57,40,39,152,75
521,142,45,815,205,22,99,103,78,107,105
311,81,26,8247,2198,100,950,909,690,153,320
512,131,52,5347,1397,221,712,815,548,119,850
507,122,91,7761,1947,347,1175,1152,1380,808,535
529,137,97,6661,1785,291,1082,949,989,280,933.333
424,119,13,3651,1046,32,461,301,112,224,850
351,97,39,1258,353,16,196,110,117,226,210
388,103,39,2174,555,80,285,274,186,182,325
339,96,23,1064,290,11,123,108,55,104,275
255,70,43,6311,1661,154,1019,608,820,51,450
677,238,53,2223,737,93,349,401,171,1377,1975
614,163,75,5017,1388,266,813,822,617,303,1900
329,83,56,3828,948,145,575,528,635,276,600
637,174,56,6727,2024,247,978,1093,495,278,1041.667
280,82,47,428,113,25,61,70,63,148,110
155,41,22,5409,1338,181,746,805,875,165,260
458,114,48,1350,298,28,160,123,122,246,475
314,83,16,1457,405,28,156,159,76,533,431.5
475,123,72,1810,471,108,292,343,267,226,1220
317,78,32,317,78,7,35,35,32,45,70
511,138,61,592,164,28,87,110,71,157,145
382,119,36,2133,594,41,287,294,227,59,595
565,148,77,7287,2083,305,1135,1234,791,292,1861.46
415,115,68,711,184,45,156,119,99,274,300
424,110,36,2130,544,38,335,174,258,292,490
495,151,78,5624,1679,275,884,1015,709,1045,2460
233,49,18,1350,336,7,166,122,106,102,375
566,154,43,6100,1583,131,743,693,300,316,750
641,198,41,2129,610,92,297,319,117,269,1175
215,51,11,215,51,4,19,18,11,116,70
441,128,80,6675,2095,209,1072,1050,695,97,1500
325,76,37,1506,351,71,195,219,214,726,385
490,125,62,6063,1646,271,847,999,680,869,1925.571
574,152,64,985,260,53,148,173,95,1253,215
596,171,52,2862,728,107,361,401,224,118,900
472,118,30,793,187,14,102,80,50,228,155
283,77,26,6840,1910,259,915,1067,546,144,700
408,94,66,3573,866,59,429,365,410,282,535
327,85,20,2140,568,16,216,208,93,91,362.5
370,96,60,6986,1972,231,1070,955,921,137,733.333
354,77,41,8716,2172,384,1172,1267,1057,83,200
539,139,69,1469,369,12,247,126,198,462,400
340,84,47,1516,376,42,284,141,219,185,400
510,126,35,5562,1578,44,703,519,256,207,737.5
282,78,29,1649,453,73,211,280,138,670,500
380,120,31,3118,900,92,444,419,240,237,600
584,158,42,2358,636,58,265,316,134,331,662.5
570,169,38,3754,1077,140,492,589,263,295,950
306,104,25,2954,822,55,313,377,187,116,750
220,54,31,1185,299,40,145,154,128,50,297.5
278,70,18,7186,2081,190,935,1088,643,0,325
445,99,29,618,129,1,72,31,48,278,87.5
143,39,15,639,151,16,80,97,61,138,175
185,40,18,524,125,7,58,37,47,97,90
589,170,69,2325,634,128,371,376,238,368,1237.5
343,103,40,4338,1193,70,581,421,325,211,430
438,103,71,440,103,2,67,32,71,276,100
600,144,65,696,173,38,101,130,69,319,165
663,200,32,1447,404,57,210,222,68,241,250
232,55,45,4405,1213,194,702,705,625,623,1300
479,133,55,7472,2147,153,980,1032,854,237,773.333
528,132,41,2641,671,97,273,383,226,885,1008.333
160,39,22,2128,543,56,304,268,298,33,275
599,183,32,2482,715,27,330,326,158,231,775
497,136,26,3871,1066,40,450,367,241,304,850
210,70,28,4040,1130,97,544,462,551,0,365
151,41,19,288,68,9,45,39,35,28,95
278,86,45,278,86,4,33,38,45,102,110
341,95,20,2964,808,81,379,428,221,158,100
537,147,47,2744,730,97,302,351,174,92,277.5
399,102,34,670,167,4,89,48,54,211,80
309,94,26,4618,1330,57,616,522,436,161,600
616,163,32,1437,377,65,181,227,82,110,200
579,174,58,3053,880,32,366,337,218,280,657
165,39,16,196,44,2,18,10,18,332,75
618,200,62,7127,2163,351,1104,1289,564,330,2412.5
257,66,32,3910,979,33,518,324,382,87,250
315,76,25,630,151,24,68,94,55,498,155
591,157,26,2020,541,52,310,226,91,290,640
404,92,18,1354,325,30,188,135,63,222,300
315,73,16,450,108,6,38,46,28,227,110
429,91,57,5590,1397,83,578,579,644,686,825
453,101,61,948,218,6,96,72,91,249,195
184,47,18,3327,890,74,419,382,304,49,450
591,184,38,1689,462,40,219,195,82,303,630
181,58,22,181,58,6,34,23,22,88,86.5
441,118,68,2723,750,126,433,420,309,190,1300
490,150,35,6126,1839,121,983,707,600,96,1000
551,171,94,6090,1840,128,969,900,917,1199,1800
550,147,71,2816,815,117,405,474,319,1218,1310
283,74,22,3919,1062,85,505,456,283,145,737.5
560,161,66,1789,470,65,233,260,155,332,625
328,91,33,342,94,12,51,44,33,145,125
586,159,53,3082,880,83,363,477,295,181,1043.333
503,136,83,3423,970,20,408,303,414,65,725
344,85,88,911,214,64,150,156,187,0,300
680,223,34,1928,587,35,262,201,91,429,365
279,64,30,279,64,0,31,26,30,107,75
484,127,67,3006,844,116,436,458,377,1231,1183.333
431,127,58,667,187,9,117,64,88,283,202.5
283,70,27,4479,1222,94,557,483,307,156,225
491,141,37,4291,1240,84,615,430,340,239,525
199,52,21,805,191,30,113,119,87,235,265
589,149,64,3558,928,102,513,471,351,371,787.5
327,84,38,4273,1123,212,577,700,334,483,800
464,128,52,5829,1552,210,740,840,452,0,587.5
338,92,21,682,185,36,88,112,50,0,145
584,157,63,4704,1320,93,724,522,576,276,420
216,54,33,216,54,2,27,25,33,317,75
625,179,65,1696,476,12,216,163,166,303,575
489,131,34,2051,549,62,300,263,153,310,780
209,56,19,216,58,12,24,37,19,201,90
407,93,30,969,230,14,121,69,68,172,150
490,148,49,3400,1000,113,445,491,301,0,700
442,131,33,1416,398,47,210,203,136,233,550
288,65,27,2815,698,55,315,325,189,259,650
209,54,12,209,54,3,25,14,12,102,68
303,71,36,344,76,3,20,36,45,468,100
330,77,27,1928,516,90,247,288,161,149,670
504,120,54,1085,259,54,150,167,114,103,175
258,60,18,638,170,17,80,75,36,358,137
20,1,0,41,9,2,6,7,4,78,2127.333
374,94,62,1968,519,26,181,199,288,756,875
211,43,39,498,116,14,59,55,78,463,120
299,75,26,580,160,8,71,33,44,212,140
576,167,57,822,232,19,132,83,79,325,210
381,110,32,3015,834,40,451,249,168,228,800
288,76,15,1644,408,16,198,120,113,203,240
369,93,49,1258,323,54,181,177,157,149,350
547,137,12,1038,271,3,129,80,24,261,175
572,152,65,978,249,36,168,91,101,325,200
514,144,79,4739,1169,13,583,374,528,229,1940
359,80,63,1493,359,61,176,202,175,682,700
526,163,77,1556,470,38,245,167,174,250,750
313,83,30,5885,1543,104,751,714,535,58,450
540,135,55,540,135,30,82,88,55,157,172
437,123,40,4139,1203,79,676,390,364,82,1260
237,52,30,14053,4256,160,2165,1314,1566,523,750
236,56,21,1257,329,24,166,125,105,172,190
473,154,29,1966,566,29,250,252,178,846,580
309,72,26,354,82,0,41,32,26,117,130
271,77,33,4933,1358,48,630,435,403,62,450
357,96,39,1394,344,43,178,192,136,167,300
216,56,15,2796,665,43,266,304,198,391,250
256,70,44,7058,1845,312,965,1128,990,41,1050
466,108,72,652,142,44,102,109,102,286,215
327,68,45,3949,939,78,438,380,466,659,400
341,110,46,2331,658,50,249,322,274,251,560
608,160,89,4071,1182,103,862,417,708,426,1670
419,101,92,9528,2510,548,1509,1659,1342,0,487.5
376,82,35,1770,408,115,238,299,157,0,425
486,145,40,3967,1102,67,410,497,284,88,500
246,76,13,912,234,12,102,96,80,44,250
205,52,17,5134,1323,56,643,445,459,155,400
348,90,43,2288,614,43,295,273,269,60,450
523,135,52,3368,895,39,377,284,296,367,750
312,68,24,312,68,2,32,22,24,86,70
496,119,21,3358,882,36,365,280,165,155,875
126,27,5,239,49,3,16,13,14,190,190
275,68,61,961,238,16,128,104,172,181,191
627,178,46,3146,902,74,494,345,242,309,740
394,86,36,1089,267,3,94,71,76,203,250
208,57,18,653,170,17,98,54,62,42,140
382,101,22,382,101,16,50,55,22,200,97.5
459,113,68,5348,1369,155,713,660,735,0,740
549,149,42,549,149,7,73,47,42,255,140
288,63,16,2682,667,38,315,259,204,135,341.667
522,163,62,7037,2019,153,1043,827,535,352,1000
512,117,43,1750,412,100,204,276,155,1236,100
220,66,13,290,80,5,27,31,15,281,90
522,140,60,730,185,22,93,106,86,1320,200
461,112,35,680,160,24,76,75,49,111,135
581,145,21,831,210,21,106,86,40,320,155
530,159,47,1619,426,11,218,149,163,196,475
557,142,23,8759,2583,271,1138,1299,478,1160,1450
439,96,65,711,148,1,68,56,99,229,150
453,103,52,507,123,8,63,39,58,289,105
528,122,51,1716,403,12,211,146,155,209,350
633,210,59,3070,872,19,420,230,274,367,90
562,169,53,3181,841,61,450,342,373,351,530
281,76,20,2658,657,48,324,300,179,106,341.667
593,152,53,2765,686,133,369,384,321,315,940
687,213,27,1518,448,15,196,137,89,294,350
